date,source,plant,day,cost
2026-09-10,S2,P1,2,230.0
2026-09-10,S2,P2,2,110.0
2026-09-10,S2,P3,2,170.0
2026-09-10,S2,P4,2,200.0
2026-09-10,S2,P5,2,170.0
2026-09-10,S2,P6,2,190.0
2026-09-10,S3,P1,2,310.0
2026-09-10,S3,P2,2,230.0
2026-09-10,S3,P3,2,120.0
2026-09-10,S3,P4,2,100.0
2026-09-10,S3,P5,2,180.0
2026-09-10,S3,P6,2,190.0
2026-09-10,S4,P1,2,280.0
2026-09-10,S4,P2,2,150.0
2026-09-10,S4,P3,2,160.0
2026-09-10,S4,P4,2,170.0
2026-09-10,S4,P5,2,105.0
2026-09-10,S4,P6,2,140.0
2026-09-11,S1,P1,3,120.0
2026-09-11,S1,P2,3,220.0
2026-09-11,S1,P3,3,260.0
2026-09-11,S1,P4,3,300.0
2026-09-11,S1,P5,3,320.0
2026-09-11,S1,P6,3,250.0
2026-09-11,S2,P1,3,230.0
2026-09-11,S2,P2,3,110.0
2026-09-11,S2,P3,3,170.0
2026-09-11,S2,P4,3,200.0
2026-09-11,S2,P5,3,170.0
2026-09-11,S2,P6,3,190.0
2026-09-11,S3,P1,3,310.0
2026-09-11,S3,P2,3,230.0
2026-09-11,S3,P3,3,120.0
2026-09-11,S3,P4,3,100.0
2026-09-11,S3,P5,3,180.0
2026-09-11,S3,P6,3,190.0
2026-09-11,S4,P1,3,280.0
2026-09-11,S4,P2,3,150.0
2026-09-11,S4,P3,3,160.0
2026-09-11,S4,P4,3,170.0
2026-09-11,S4,P5,3,105.0
2026-09-11,S4,P6,3,140.0
2026-09-12,S1,P1,4,120.0
2026-09-12,S1,P2,4,220.0
2026-09-12,S1,P3,4,260.0
2026-09-12,S1,P4,4,300.0
2026-09-12,S1,P5,4,320.0
2026-09-12,S1,P6,4,250.0
2026-09-12,S2,P1,4,230.0
2026-09-12,S2,P2,4,110.0
2026-09-12,S2,P3,4,170.0
2026-09-12,S2,P4,4,200.0
2026-09-12,S2,P5,4,170.0
2026-09-12,S2,P6,4,190.0
2026-09-12,S3,P1,4,310.0
2026-09-12,S3,P2,4,230.0
2026-09-12,S3,P3,4,120.0
2026-09-12,S3,P4,4,100.0
2026-09-12,S3,P5,4,180.0
2026-09-12,S3,P6,4,190.0
2026-09-12,S4,P1,4,280.0
2026-09-12,S4,P2,4,150.0
2026-09-12,S4,P3,4,160.0
2026-09-12,S4,P4,4,170.0
2026-09-12,S4,P5,4,105.0
2026-09-12,S4,P6,4,140.0
2026-09-13,S1,P1,5,120.0
2026-09-13,S1,P2,5,220.0
2026-09-13,S1,P3,5,260.0
2026-09-13,S1,P4,5,300.0
2026-09-13,S1,P5,5,320.0
2026-09-13,S1,P6,5,250.0
2026-09-13,S2,P1,5,230.0
2026-09-13,S2,P2,5,110.0
2026-09-13,S2,P3,5,170.0
2026-09-13,S2,P4,5,200.0
2026-09-13,S2,P5,5,170.0
2026-09-13,S2,P6,5,190.0
2026-09-13,S3,P1,5,310.0
2026-09-13,S3,P2,5,230.0
2026-09-13,S3,P3,5,120.0
2026-09-13,S3,P4,5,100.0
2026-09-13,S3,P5,5,180.0
2026-09-13,S3,P6,5,190.0
2026-09-13,S4,P1,5,280.0
2026-09-13,S4,P2,5,150.0
2026-09-13,S4,P3,5,160.0
2026-09-13,S4,P4,5,170.0
2026-09-13,S4,P5,5,105.0
2026-09-13,S4,P6,5,140.0
2026-09-14,S1,P1,6,120.0
2026-09-14,S1,P2,6,220.0
2026-09-14,S1,P3,6,260.0
2026-09-14,S1,P4,6,300.0
2026-09-14,S1,P5,6,320.0
2026-09-14,S1,P6,6,250.0
2026-09-14,S2,P1,6,230.0
2026-09-14,S2,P2,6,110.0
2026-09-14,S2,P3,6,170.0
2026-09-14,S2,P4,6,200.0
2026-09-14,S2,P5,6,170.0
2026-09-14,S2,P6,6,190.0
2026-09-14,S3,P1,6,310.0
2026-09-14,S3,P2,6,230.0
2026-09-14,S3,P3,6,120.0
2026-09-14,S3,P4,6,100.0
2026-09-14,S3,P5,6,180.0
2026-09-14,S3,P6,6,190.0
2026-09-14,S4,P1,6,280.0
2026-09-14,S4,P2,6,150.0
2026-09-14,S4,P3,6,160.0
2026-09-14,S4,P4,6,170.0
2026-09-14,S4,P5,6,105.0
2026-09-14,S4,P6,6,140.0
2026-09-15,S1,P1,7,120.0
2026-09-15,S1,P2,7,220.0
2026-09-15,S1,P3,7,260.0
2026-09-15,S1,P4,7,300.0
2026-09-15,S1,P5,7,320.0
2026-09-15,S1,P6,7,250.0
2026-09-15,S2,P1,7,230.0
2026-09-15,S2,P2,7,110.0
2026-09-15,S2,P3,7,170.0
2026-09-15,S2,P4,7,200.0
2026-09-15,S2,P5,7,170.0
2026-09-15,S2,P6,7,190.0
2026-09-15,S3,P1,7,310.0
2026-09-15,S3,P2,7,230.0
2026-09-15,S3,P3,7,120.0
2026-09-15,S3,P4,7,100.0
2026-09-15,S3,P5,7,180.0
2026-09-15,S3,P6,7,190.0
2026-09-15,S4,P1,7,280.0
2026-09-15,S4,P2,7,150.0
2026-09-15,S4,P3,7,160.0
2026-09-15,S4,P4,7,170.0
2026-09-15,S4,P5,7,105.0
2026-09-15,S4,P6,7,140.0
2026-09-16,S1,P1,8,120.0
2026-09-16,S1,P2,8,220.0
2026-09-16,S1,P3,8,260.0
2026-09-16,S1,P4,8,300.0
2026-09-16,S1,P5,8,320.0
2026-09-16,S1,P6,8,250.0
2026-09-16,S2,P1,8,230.0
2026-09-16,S2,P2,8,110.0
2026-09-16,S2,P3,8,170.0
2026-09-16,S2,P4,8,200.0
2026-09-16,S2,P5,8,170.0
2026-09-16,S2,P6,8,190.0
2026-09-16,S3,P1,8,310.0
2026-09-16,S3,P2,8,230.0
2026-09-16,S3,P3,8,120.0
2026-09-16,S3,P4,8,100.0
2026-09-16,S3,P5,8,180.0
2026-09-16,S3,P6,8,190.0
2026-09-16,S4,P1,8,280.0
2026-09-16,S4,P2,8,150.0
2026-09-16,S4,P3,8,160.0
2026-09-16,S4,P4,8,170.0
2026-09-16,S4,P5,8,105.0
2026-09-16,S4,P6,8,140.0
2026-09-17,S1,P1,9,120.0
2026-09-17,S1,P2,9,220.0
2026-09-17,S1,P3,9,260.0
2026-09-17,S1,P4,9,300.0
2026-09-17,S1,P5,9,320.0
2026-09-17,S1,P6,9,250.0
2026-09-17,S2,P1,9,230.0
2026-09-17,S2,P2,9,110.0
2026-09-17,S2,P3,9,170.0
2026-09-17,S2,P4,9,200.0
2026-09-17,S2,P5,9,170.0
2026-09-17,S2,P6,9,190.0
2026-09-17,S3,P1,9,310.0
2026-09-17,S3,P2,9,230.0
2026-09-17,S3,P3,9,120.0
2026-09-17,S3,P4,9,100.0
2026-09-17,S3,P5,9,180.0
2026-09-17,S3,P6,9,190.0
2026-09-17,S4,P1,9,280.0
2026-09-17,S4,P2,9,150.0
2026-09-17,S4,P3,9,160.0
2026-09-17,S4,P4,9,170.0
2026-09-17,S4,P5,9,105.0
2026-09-17,S4,P6,9,140.0
2026-09-18,S1,P1,10,120.0
2026-09-18,S1,P2,10,220.0
2026-09-18,S1,P3,10,260.0
2026-09-18,S1,P4,10,300.0
2026-09-18,S1,P5,10,320.0
2026-09-18,S1,P6,10,250.0
2026-09-18,S2,P1,10,230.0
2026-09-18,S2,P2,10,110.0
2026-09-18,S2,P3,10,170.0
2026-09-18,S2,P4,10,200.0
2026-09-18,S2,P5,10,170.0
2026-09-18,S2,P6,10,190.0
2026-09-18,S3,P1,10,310.0
2026-09-18,S3,P2,10,230.0
2026-09-18,S3,P3,10,120.0
2026-09-18,S3,P4,10,100.0
2026-09-18,S3,P5,10,180.0
2026-09-18,S3,P6,10,190.0
2026-09-18,S4,P1,10,280.0
2026-09-18,S4,P2,10,150.0
2026-09-18,S4,P3,10,160.0
2026-09-18,S4,P4,10,170.0
2026-09-18,S4,P5,10,105.0
2026-09-18,S4,P6,10,140.0
2026-09-19,S1,P1,11,120.0
2026-09-19,S1,P2,11,220.0
2026-09-19,S1,P3,11,260.0
2026-09-19,S1,P4,11,300.0
2026-09-19,S1,P5,11,320.0
2026-09-19,S1,P6,11,250.0
2026-09-19,S2,P1,11,230.0
2026-09-19,S2,P2,11,110.0
2026-09-19,S2,P3,11,170.0
2026-09-19,S2,P4,11,200.0
2026-09-19,S2,P5,11,170.0
2026-09-19,S2,P6,11,190.0
2026-09-19,S3,P1,11,310.0
2026-09-19,S3,P2,11,230.0
2026-09-19,S3,P3,11,120.0
2026-09-19,S3,P4,11,100.0
2026-09-19,S3,P5,11,180.0
2026-09-19,S3,P6,11,190.0
2026-09-19,S4,P1,11,280.0
2026-09-19,S4,P2,11,150.0
2026-09-19,S4,P3,11,160.0
2026-09-19,S4,P4,11,170.0
2026-09-19,S4,P5,11,105.0
2026-09-19,S4,P6,11,140.0
2026-09-20,S1,P1,12,120.0
2026-09-20,S1,P2,12,220.0
2026-09-20,S1,P3,12,260.0
2026-09-20,S1,P4,12,300.0
2026-09-20,S1,P5,12,320.0
2026-09-20,S1,P6,12,250.0
2026-09-20,S2,P1,12,230.0
2026-09-20,S2,P2,12,110.0
2026-09-20,S2,P3,12,170.0
2026-09-20,S2,P4,12,200.0
2026-09-20,S2,P5,12,170.0
2026-09-20,S2,P6,12,190.0
2026-09-20,S3,P1,12,310.0
2026-09-20,S3,P2,12,230.0
2026-09-20,S3,P3,12,120.0
2026-09-20,S3,P4,12,100.0
2026-09-20,S3,P5,12,180.0
2026-09-20,S3,P6,12,190.0
2026-09-20,S4,P1,12,280.0
2026-09-20,S4,P2,12,150.0
2026-09-20,S4,P3,12,160.0
2026-09-20,S4,P4,12,170.0
2026-09-20,S4,P5,12,105.0
2026-09-20,S4,P6,12,140.0
2026-09-21,S1,P1,13,120.0
2026-09-21,S1,P2,13,220.0
2026-09-21,S1,P3,13,260.0
2026-09-21,S1,P4,13,300.0
2026-09-21,S1,P5,13,320.0
2026-09-21,S1,P6,13,250.0
2026-09-21,S2,P1,13,230.0
2026-09-21,S2,P2,13,110.0
2026-09-21,S2,P3,13,170.0
2026-09-21,S2,P4,13,200.0
2026-09-21,S2,P5,13,170.0
2026-09-21,S2,P6,13,190.0
2026-09-21,S3,P1,13,310.0
2026-09-21,S3,P2,13,230.0
2026-09-21,S3,P3,13,120.0
2026-09-21,S3,P4,13,100.0
2026-09-21,S3,P5,13,180.0
2026-09-21,S3,P6,13,190.0
2026-09-21,S4,P1,13,280.0
2026-09-21,S4,P2,13,150.0
2026-09-21,S4,P3,13,160.0
2026-09-21,S4,P4,13,170.0
2026-09-21,S4,P5,13,105.0
2026-09-21,S4,P6,13,140.0
2026-09-22,S1,P1,14,120.0
2026-09-22,S1,P2,14,220.0
2026-09-22,S1,P3,14,260.0
2026-09-22,S1,P4,14,300.0
2026-09-22,S1,P5,14,320.0
2026-09-22,S1,P6,14,250.0
2026-09-22,S2,P1,14,230.0
2026-09-22,S2,P2,14,110.0
2026-09-22,S2,P3,14,170.0
2026-09-22,S2,P4,14,200.0
2026-09-22,S2,P5,14,170.0
2026-09-22,S2,P6,14,190.0
2026-09-22,S3,P1,14,310.0
2026-09-22,S3,P2,14,230.0
2026-09-22,S3,P3,14,120.0
2026-09-22,S3,P4,14,100.0
2026-09-22,S3,P5,14,180.0
2026-09-22,S3,P6,14,190.0
2026-09-22,S4,P1,14,280.0
2026-09-22,S4,P2,14,150.0
2026-09-22,S4,P3,14,160.0
2026-09-22,S4,P4,14,170.0
2026-09-22,S4,P5,14,105.0
2026-09-22,S4,P6,14,140.0
2026-09-23,S1,P1,15,120.0
2026-09-23,S1,P2,15,220.0
2026-09-23,S1,P3,15,260.0
2026-09-23,S1,P4,15,300.0
2026-09-23,S1,P5,15,320.0
2026-09-23,S1,P6,15,250.0
2026-09-23,S2,P1,15,230.0
2026-09-23,S2,P2,15,110.0
2026-09-23,S2,P3,15,170.0
2026-09-23,S2,P4,15,200.0
2026-09-23,S2,P5,15,170.0
2026-09-23,S2,P6,15,190.0
2026-09-23,S3,P1,15,310.0
2026-09-23,S3,P2,15,230.0
2026-09-23,S3,P3,15,120.0
2026-09-23,S3,P4,15,100.0
2026-09-23,S3,P5,15,180.0
2026-09-23,S3,P6,15,190.0
2026-09-23,S4,P1,15,280.0
2026-09-23,S4,P2,15,150.0
2026-09-23,S4,P3,15,160.0
2026-09-23,S4,P4,15,170.0
2026-09-23,S4,P5,15,105.0
2026-09-23,S4,P6,15,140.0
2026-09-24,S1,P1,16,120.0
2026-09-24,S1,P2,16,220.0
2026-09-24,S1,P3,16,260.0
2026-09-24,S1,P4,16,300.0
2026-09-24,S1,P5,16,320.0
2026-09-24,S1,P6,16,250.0
2026-09-24,S2,P1,16,230.0
2026-09-24,S2,P2,16,110.0
2026-09-24,S2,P3,16,170.0
2026-09-24,S2,P4,16,200.0
2026-09-24,S2,P5,16,170.0
2026-09-24,S2,P6,16,190.0
2026-09-24,S3,P1,16,310.0
2026-09-24,S3,P2,16,230.0
2026-09-24,S3,P3,16,120.0
2026-09-24,S3,P4,16,100.0
2026-09-24,S3,P5,16,180.0
2026-09-24,S3,P6,16,190.0
2026-09-24,S4,P1,16,280.0
2026-09-24,S4,P2,16,150.0
2026-09-24,S4,P3,16,160.0
2026-09-24,S4,P4,16,170.0
2026-09-24,S4,P5,16,105.0
2026-09-24,S4,P6,16,140.0
2026-09-25,S1,P1,17,120.0
2026-09-25,S1,P2,17,220.0
2026-09-25,S1,P3,17,260.0
2026-09-25,S1,P4,17,300.0
2026-09-25,S1,P5,17,320.0
2026-09-25,S1,P6,17,250.0
2026-09-25,S2,P1,17,230.0
2026-09-25,S2,P2,17,110.0
2026-09-25,S2,P3,17,170.0
2026-09-25,S2,P4,17,200.0
2026-09-25,S2,P5,17,170.0
2026-09-25,S2,P6,17,190.0
2026-09-25,S3,P1,17,310.0
2026-09-25,S3,P2,17,230.0
2026-09-25,S3,P3,17,120.0
2026-09-25,S3,P4,17,100.0
2026-09-25,S3,P5,17,180.0
2026-09-25,S3,P6,17,190.0
2026-09-25,S4,P1,17,280.0
2026-09-25,S4,P2,17,150.0
2026-09-25,S4,P3,17,160.0
2026-09-25,S4,P4,17,170.0
2026-09-25,S4,P5,17,105.0
2026-09-25,S4,P6,17,140.0
2026-09-26,S1,P1,18,120.0
2026-09-26,S1,P2,18,220.0
2026-09-26,S1,P3,18,260.0
2026-09-26,S1,P4,18,300.0
2026-09-26,S1,P5,18,320.0
2026-09-26,S1,P6,18,250.0
2026-09-26,S2,P1,18,230.0
2026-09-26,S2,P2,18,110.0
2026-09-26,S2,P3,18,170.0
2026-09-26,S2,P4,18,200.0
2026-09-26,S2,P5,18,170.0
2026-09-26,S2,P6,18,190.0
2026-09-26,S3,P1,18,310.0
2026-09-26,S3,P2,18,230.0
2026-09-26,S3,P3,18,120.0
2026-09-26,S3,P4,18,100.0
2026-09-26,S3,P5,18,180.0
2026-09-26,S3,P6,18,190.0
2026-09-26,S4,P1,18,280.0
2026-09-26,S4,P2,18,150.0
2026-09-26,S4,P3,18,160.0
2026-09-26,S4,P4,18,170.0
2026-09-26,S4,P5,18,105.0
2026-09-26,S4,P6,18,140.0
2026-09-27,S1,P1,19,120.0
2026-09-27,S1,P2,19,220.0
2026-09-27,S1,P3,19,260.0
2026-09-27,S1,P4,19,300.0
2026-09-27,S1,P5,19,320.0
2026-09-27,S1,P6,19,250.0
2026-09-27,S2,P1,19,230.0
2026-09-27,S2,P2,19,110.0
2026-09-27,S2,P3,19,170.0
2026-09-27,S2,P4,19,200.0
2026-09-27,S2,P5,19,170.0
2026-09-27,S2,P6,19,190.0
2026-09-27,S3,P1,19,310.0
2026-09-27,S3,P2,19,230.0
2026-09-27,S3,P3,19,120.0
2026-09-27,S3,P4,19,100.0
2026-09-27,S3,P5,19,180.0
2026-09-27,S3,P6,19,190.0
2026-09-27,S4,P1,19,280.0
2026-09-27,S4,P2,19,150.0
2026-09-27,S4,P3,19,160.0
2026-09-27,S4,P4,19,170.0
2026-09-27,S4,P5,19,105.0
2026-09-27,S4,P6,19,140.0
2026-09-28,S1,P1,20,120.0
2026-09-28,S1,P2,20,220.0
2026-09-28,S1,P3,20,260.0
2026-09-28,S1,P4,20,300.0
2026-09-28,S1,P5,20,320.0
2026-09-28,S1,P6,20,250.0
2026-09-28,S2,P1,20,230.0
2026-09-28,S2,P2,20,110.0
2026-09-28,S2,P3,20,170.0
2026-09-28,S2,P4,20,200.0
2026-09-28,S2,P5,20,170.0
2026-09-28,S2,P6,20,190.0
2026-09-28,S3,P1,20,310.0
2026-09-28,S3,P2,20,230.0
2026-09-28,S3,P3,20,120.0
2026-09-28,S3,P4,20,100.0
2026-09-28,S3,P5,20,180.0
2026-09-28,S3,P6,20,190.0
2026-09-28,S4,P1,20,280.0
2026-09-28,S4,P2,20,150.0
2026-09-28,S4,P3,20,160.0
2026-09-28,S4,P4,20,170.0
2026-09-28,S4,P5,20,105.0
2026-09-28,S4,P6,20,140.0
2026-09-29,S1,P1,21,120.0
2026-09-29,S1,P2,21,220.0
2026-09-29,S1,P3,21,260.0
2026-09-29,S1,P4,21,300.0
2026-09-29,S1,P5,21,320.0
2026-09-29,S1,P6,21,250.0
2026-09-29,S2,P1,21,230.0
2026-09-29,S2,P2,21,110.0
2026-09-29,S2,P3,21,170.0
2026-09-29,S2,P4,21,200.0
2026-09-29,S2,P5,21,170.0
2026-09-29,S2,P6,21,190.0
2026-09-29,S3,P1,21,310.0
2026-09-29,S3,P2,21,230.0
2026-09-29,S3,P3,21,120.0
2026-09-29,S3,P4,21,100.0
2026-09-29,S3,P5,21,180.0
2026-09-29,S3,P6,21,190.0
2026-09-29,S4,P1,21,280.0
2026-09-29,S4,P2,21,150.0
2026-09-29,S4,P3,21,160.0
2026-09-29,S4,P4,21,170.0
2026-09-29,S4,P5,21,105.0
2026-09-29,S4,P6,21,140.0
2026-09-30,S1,P1,22,120.0
2026-09-30,S1,P2,22,220.0
2026-09-30,S1,P3,22,260.0
2026-09-30,S1,P4,22,300.0
2026-09-30,S1,P5,22,320.0
2026-09-30,S1,P6,22,250.0
2026-09-30,S2,P1,22,230.0
2026-09-30,S2,P2,22,110.0
2026-09-30,S2,P3,22,170.0
2026-09-30,S2,P4,22,200.0
2026-09-30,S2,P5,22,170.0
2026-09-30,S2,P6,22,190.0
2026-09-30,S3,P1,22,310.0
2026-09-30,S3,P2,22,230.0
2026-09-30,S3,P3,22,120.0
2026-09-30,S3,P4,22,100.0
2026-09-30,S3,P5,22,180.0
2026-09-30,S3,P6,22,190.0
2026-09-30,S4,P1,22,280.0
2026-09-30,S4,P2,22,150.0
2026-09-30,S4,P3,22,160.0
2026-09-30,S4,P4,22,170.0
2026-09-30,S4,P5,22,105.0
2026-09-30,S4,P6,22,140.0
2026-10-01,S1,P1,23,120.0
2026-10-01,S1,P2,23,220.0
2026-10-01,S1,P3,23,260.0
2026-10-01,S1,P4,23,300.0
2026-10-01,S1,P5,23,320.0
2026-10-01,S1,P6,23,250.0
2026-10-01,S2,P1,23,230.0
2026-10-01,S2,P2,23,110.0
2026-10-01,S2,P3,23,170.0
2026-10-01,S2,P4,23,200.0
2026-10-01,S2,P5,23,170.0
2026-10-01,S2,P6,23,190.0
2026-10-01,S3,P1,23,310.0
2026-10-01,S3,P2,23,230.0
2026-10-01,S3,P3,23,120.0
2026-10-01,S3,P4,23,100.0
2026-10-01,S3,P5,23,180.0
2026-10-01,S3,P6,23,190.0
2026-10-01,S4,P1,23,280.0
2026-10-01,S4,P2,23,150.0
2026-10-01,S4,P3,23,160.0
2026-10-01,S4,P4,23,170.0
2026-10-01,S4,P5,23,105.0
2026-10-01,S4,P6,23,140.0
2026-10-02,S1,P1,24,120.0
2026-10-02,S1,P2,24,220.0
2026-10-02,S1,P3,24,260.0
2026-10-02,S1,P4,24,300.0
2026-10-02,S1,P5,24,320.0
2026-10-02,S1,P6,24,250.0
2026-10-02,S2,P1,24,230.0
2026-10-02,S2,P2,24,110.0
2026-10-02,S2,P3,24,170.0
2026-10-02,S2,P4,24,200.0
2026-10-02,S2,P5,24,170.0
2026-10-02,S2,P6,24,190.0
2026-10-02,S3,P1,24,310.0
2026-10-02,S3,P2,24,230.0
2026-10-02,S3,P3,24,120.0
2026-10-02,S3,P4,24,100.0
2026-10-02,S3,P5,24,180.0
2026-10-02,S3,P6,24,190.0
2026-10-02,S4,P1,24,280.0
2026-10-02,S4,P2,24,150.0
2026-10-02,S4,P3,24,160.0
2026-10-02,S4,P4,24,170.0
2026-10-02,S4,P5,24,105.0
2026-10-02,S4,P6,24,140.0
2026-10-03,S1,P1,25,120.0
2026-10-03,S1,P2,25,220.0
2026-10-03,S1,P3,25,260.0
2026-10-03,S1,P4,25,300.0
2026-10-03,S1,P5,25,320.0
2026-10-03,S1,P6,25,250.0
2026-10-03,S2,P1,25,230.0
2026-10-03,S2,P2,25,110.0
2026-10-03,S2,P3,25,170.0
2026-10-03,S2,P4,25,200.0
2026-10-03,S2,P5,25,170.0
2026-10-03,S2,P6,25,190.0
2026-10-03,S3,P1,25,310.0
2026-10-03,S3,P2,25,230.0
2026-10-03,S3,P3,25,120.0
2026-10-03,S3,P4,25,100.0
2026-10-03,S3,P5,25,180.0
2026-10-03,S3,P6,25,190.0
2026-10-03,S4,P1,25,280.0
2026-10-03,S4,P2,25,150.0
2026-10-03,S4,P3,25,160.0
2026-10-03,S4,P4,25,170.0
2026-10-03,S4,P5,25,105.0
2026-10-03,S4,P6,25,140.0
2026-10-04,S1,P1,26,120.0
2026-10-04,S1,P2,26,220.0
2026-10-04,S1,P3,26,260.0
2026-10-04,S1,P4,26,300.0
2026-10-04,S1,P5,26,320.0
2026-10-04,S1,P6,26,250.0
2026-10-04,S2,P1,26,230.0
2026-10-04,S2,P2,26,110.0
2026-10-04,S2,P3,26,170.0
2026-10-04,S2,P4,26,200.0
2026-10-04,S2,P5,26,170.0
2026-10-04,S2,P6,26,190.0
2026-10-04,S3,P1,26,310.0
2026-10-04,S3,P2,26,230.0
2026-10-04,S3,P3,26,120.0
2026-10-04,S3,P4,26,100.0
2026-10-04,S3,P5,26,180.0
2026-10-04,S3,P6,26,190.0
2026-10-04,S4,P1,26,280.0
2026-10-04,S4,P2,26,150.0
2026-10-04,S4,P3,26,160.0
2026-10-04,S4,P4,26,170.0
2026-10-04,S4,P5,26,105.0
2026-10-04,S4,P6,26,140.0
2026-10-05,S1,P1,27,120.0
2026-10-05,S1,P2,27,220.0
2026-10-05,S1,P3,27,260.0
2026-10-05,S1,P4,27,300.0
2026-10-05,S1,P5,27,320.0
2026-10-05,S1,P6,27,250.0
2026-10-05,S2,P1,27,230.0
2026-10-05,S2,P2,27,110.0
2026-10-05,S2,P3,27,170.0
2026-10-05,S2,P4,27,200.0
2026-10-05,S2,P5,27,170.0
2026-10-05,S2,P6,27,190.0
2026-10-05,S3,P1,27,310.0
2026-10-05,S3,P2,27,230.0
2026-10-05,S3,P3,27,120.0
2026-10-05,S3,P4,27,100.0
2026-10-05,S3,P5,27,180.0
2026-10-05,S3,P6,27,190.0
2026-10-05,S4,P1,27,280.0
2026-10-05,S4,P2,27,150.0
2026-10-05,S4,P3,27,160.0
2026-10-05,S4,P4,27,170.0
2026-10-05,S4,P5,27,105.0
2026-10-05,S4,P6,27,140.0
2026-10-06,S1,P1,28,120.0
2026-10-06,S1,P2,28,220.0
2026-10-06,S1,P3,28,260.0
2026-10-06,S1,P4,28,300.0
2026-10-06,S1,P5,28,320.0
2026-10-06,S1,P6,28,250.0
2026-10-06,S2,P1,28,230.0
2026-10-06,S2,P2,28,110.0
2026-10-06,S2,P3,28,170.0
2026-10-06,S2,P4,28,200.0
2026-10-06,S2,P5,28,170.0
2026-10-06,S2,P6,28,190.0
2026-10-06,S3,P1,28,310.0
2026-10-06,S3,P2,28,230.0
2026-10-06,S3,P3,28,120.0
2026-10-06,S3,P4,28,100.0
2026-10-06,S3,P5,28,180.0
2026-10-06,S3,P6,28,190.0
2026-10-06,S4,P1,28,280.0
2026-10-06,S4,P2,28,150.0
2026-10-06,S4,P3,28,160.0
2026-10-06,S4,P4,28,170.0
2026-10-06,S4,P5,28,105.0
2026-10-06,S4,P6,28,140.0
2026-10-07,S1,P1,29,120.0
2026-10-07,S1,P2,29,220.0
2026-10-07,S1,P3,29,260.0
2026-10-07,S1,P4,29,300.0
2026-10-07,S1,P5,29,320.0
2026-10-07,S1,P6,29,250.0
2026-10-07,S2,P1,29,230.0
2026-10-07,S2,P2,29,110.0
2026-10-07,S2,P3,29,170.0
2026-10-07,S2,P4,29,200.0
2026-10-07,S2,P5,29,170.0
2026-10-07,S2,P6,29,190.0
2026-10-07,S3,P1,29,310.0
2026-10-07,S3,P2,29,230.0
2026-10-07,S3,P3,29,120.0
2026-10-07,S3,P4,29,100.0
2026-10-07,S3,P5,29,180.0
2026-10-07,S3,P6,29,190.0
2026-10-07,S4,P1,29,280.0
2026-10-07,S4,P2,29,150.0
2026-10-07,S4,P3,29,160.0
2026-10-07,S4,P4,29,170.0
2026-10-07,S4,P5,29,105.0
2026-10-07,S4,P6,29,140.0
2026-10-08,S1,P1,30,120.0
2026-10-08,S1,P2,30,220.0
2026-10-08,S1,P3,30,260.0
2026-10-08,S1,P4,30,300.0
2026-10-08,S1,P5,30,320.0
2026-10-08,S1,P6,30,250.0
2026-10-08,S2,P1,30,230.0
2026-10-08,S2,P2,30,110.0
2026-10-08,S2,P3,30,170.0
2026-10-08,S2,P4,30,200.0
2026-10-08,S2,P5,30,170.0
2026-10-08,S2,P6,30,190.0
2026-10-08,S3,P1,30,310.0
2026-10-08,S3,P2,30,230.0
2026-10-08,S3,P3,30,120.0
