date,source,day,capacity
2026-10-20,S3,42,15000.0
2026-10-20,S4,42,12000.0
2026-10-21,S1,43,16000.0
2026-10-21,S2,43,13000.0
2026-10-21,S3,43,15000.0
2026-10-21,S4,43,12000.0
2026-10-22,S1,44,16000.0
2026-10-22,S2,44,13000.0
2026-10-22,S3,44,15000.0
2026-10-22,S4,44,12000.0
2026-10-23,S1,45,16000.0
2026-10-23,S2,45,13000.0
2026-10-23,S3,45,15000.0
2026-10-23,S4,45,12000.0
2026-10-24,S1,46,16000.0
2026-10-24,S2,46,13000.0
2026-10-24,S3,46,15000.0
2026-10-24,S4,46,12000.0
2026-10-25,S1,47,16000.0
2026-10-25,S2,47,13000.0
2026-10-25,S3,47,15000.0
2026-10-25,S4,47,12000.0
2026-10-26,S1,48,16000.0
2026-10-26,S2,48,13000.0
2026-10-26,S3,48,15000.0
2026-10-26,S4,48,12000.0
2026-10-27,S1,49,16000.0
2026-10-27,S2,49,13000.0
2026-10-27,S3,49,15000.0
2026-10-27,S4,49,12000.0
2026-10-28,S1,50,16000.0
2026-10-28,S2,50,13000.0
2026-10-28,S3,50,15000.0
2026-10-28,S4,50,12000.0
2026-10-29,S1,51,16000.0
2026-10-29,S2,51,13000.0
2026-10-29,S3,51,15000.0
2026-10-29,S4,51,12000.0
2026-10-30,S1,52,16000.0
2026-10-30,S2,52,13000.0
2026-10-30,S3,52,15000.0
2026-10-30,S4,52,12000.0
2026-10-31,S1,53,16000.0
2026-10-31,S2,53,13000.0
2026-10-31,S3,53,15000.0
2026-10-31,S4,53,12000.0
2026-11-01,S1,54,16000.0
2026-11-01,S2,54,13000.0
2026-11-01,S3,54,15000.0
2026-11-01,S4,54,12000.0
2026-11-02,S1,55,16000.0
2026-11-02,S2,55,13000.0
2026-11-02,S3,55,15000.0
2026-11-02,S4,55,12000.0
2026-11-03,S1,56,16000.0
2026-11-03,S2,56,13000.0
2026-11-03,S3,56,15000.0
2026-11-03,S4,56,12000.0
2026-11-04,S1,57,16000.0
2026-11-04,S2,57,13000.0
2026-11-04,S3,57,15000.0
2026-11-04,S4,57,12000.0
2026-11-05,S1,58,16000.0
2026-11-05,S2,58,13000.0
2026-11-05,S3,58,15000.0
2026-11-05,S4,58,12000.0
2026-11-06,S1,59,16000.0
2026-11-06,S2,59,13000.0
2026-11-06,S3,59,15000.0
2026-11-06,S4,59,12000.0
