source,plant,day,delay_hours,base_lead_days,forecast_confidence
S1,P3,35,0.0,2.0,low
S1,P3,36,0.0,2.0,low
S1,P3,37,0.0,2.0,low
S1,P3,38,0.0,2.0,low
S1,P3,39,0.0,2.0,low
S1,P3,40,0.0,2.0,low
S1,P3,41,0.0,2.0,low
S1,P3,42,0.0,2.0,low
S1,P3,43,0.0,2.0,low
S1,P3,44,0.0,2.0,low
S1,P3,45,0.0,2.0,low
S1,P3,46,0.0,2.0,low
S1,P3,47,0.0,2.0,low
S1,P3,48,0.0,2.0,low
S1,P3,49,0.0,2.0,low
S1,P3,50,0.0,2.0,low
S1,P3,51,0.0,2.0,low
S1,P3,52,0.0,2.0,low
S1,P3,53,0.0,2.0,low
S1,P3,54,0.0,2.0,low
S1,P3,55,0.0,2.0,low
S1,P3,56,0.0,2.0,low
S1,P3,57,0.0,2.0,low
S1,P3,58,0.0,2.0,low
S1,P3,59,0.0,2.0,low
S1,P4,0,48.9,2.0,high
S1,P4,1,41.565,2.0,high
S1,P4,2,41.565,2.0,high
S1,P4,3,29.339999999999996,2.0,medium
S1,P4,4,29.339999999999996,2.0,medium
S1,P4,5,29.339999999999996,2.0,medium
S1,P4,6,29.339999999999996,2.0,medium
S1,P4,7,12.225,2.0,low
S1,P4,8,12.225,2.0,low
S1,P4,9,12.225,2.0,low
S1,P4,10,12.225,2.0,low
S1,P4,11,12.225,2.0,low
S1,P4,12,12.225,2.0,low
S1,P4,13,12.225,2.0,low
S1,P4,14,0.0,2.0,low
S1,P4,15,0.0,2.0,low
S1,P4,16,0.0,2.0,low
S1,P4,17,0.0,2.0,low
S1,P4,18,0.0,2.0,low
S1,P4,19,0.0,2.0,low
S1,P4,20,0.0,2.0,low
S1,P4,21,0.0,2.0,low
S1,P4,22,0.0,2.0,low
S1,P4,23,0.0,2.0,low
S1,P4,24,0.0,2.0,low
S1,P4,25,0.0,2.0,low
S1,P4,26,0.0,2.0,low
S1,P4,27,0.0,2.0,low
S1,P4,28,0.0,2.0,low
S1,P4,29,0.0,2.0,low
S1,P4,30,0.0,2.0,low
S1,P4,31,0.0,2.0,low
S1,P4,32,0.0,2.0,low
S1,P4,33,0.0,2.0,low
S1,P4,34,0.0,2.0,low
S1,P4,35,0.0,2.0,low
S1,P4,36,0.0,2.0,low
S1,P4,37,0.0,2.0,low
S1,P4,38,0.0,2.0,low
S1,P4,39,0.0,2.0,low
S1,P4,40,0.0,2.0,low
S1,P4,41,0.0,2.0,low
S1,P4,42,0.0,2.0,low
S1,P4,43,0.0,2.0,low
S1,P4,44,0.0,2.0,low
S1,P4,45,0.0,2.0,low
S1,P4,46,0.0,2.0,low
S1,P4,47,0.0,2.0,low
S1,P4,48,0.0,2.0,low
S1,P4,49,0.0,2.0,low
S1,P4,50,0.0,2.0,low
S1,P4,51,0.0,2.0,low
S1,P4,52,0.0,2.0,low
S1,P4,53,0.0,2.0,low
S1,P4,54,0.0,2.0,low
S1,P4,55,0.0,2.0,low
S1,P4,56,0.0,2.0,low
S1,P4,57,0.0,2.0,low
S1,P4,58,0.0,2.0,low
S1,P4,59,0.0,2.0,low
S1,P5,0,55.2,3.0,high
S1,P5,1,46.92,3.0,high
S1,P5,2,46.92,3.0,high
S1,P5,3,33.12,3.0,medium
S1,P5,4,33.12,3.0,medium
S1,P5,5,33.12,3.0,medium
S1,P5,6,33.12,3.0,medium
S1,P5,7,13.8,3.0,low
S1,P5,8,13.8,3.0,low
S1,P5,9,13.8,3.0,low
S1,P5,10,13.8,3.0,low
S1,P5,11,13.8,3.0,low
S1,P5,12,13.8,3.0,low
S1,P5,13,13.8,3.0,low
S1,P5,14,0.0,3.0,low
S1,P5,15,0.0,3.0,low
S1,P5,16,0.0,3.0,low
S1,P5,17,0.0,3.0,low
S1,P5,18,0.0,3.0,low
S1,P5,19,0.0,3.0,low
S1,P5,20,0.0,3.0,low
S1,P5,21,0.0,3.0,low
S1,P5,22,0.0,3.0,low
S1,P5,23,0.0,3.0,low
S1,P5,24,0.0,3.0,low
S1,P5,25,0.0,3.0,low
S1,P5,26,0.0,3.0,low
S1,P5,27,0.0,3.0,low
S1,P5,28,0.0,3.0,low
S1,P5,29,0.0,3.0,low
S1,P5,30,0.0,3.0,low
S1,P5,31,0.0,3.0,low
S1,P5,32,0.0,3.0,low
S1,P5,33,0.0,3.0,low
S1,P5,34,0.0,3.0,low
S1,P5,35,0.0,3.0,low
S1,P5,36,0.0,3.0,low
S1,P5,37,0.0,3.0,low
S1,P5,38,0.0,3.0,low
S1,P5,39,0.0,3.0,low
S1,P5,40,0.0,3.0,low
S1,P5,41,0.0,3.0,low
S1,P5,42,0.0,3.0,low
S1,P5,43,0.0,3.0,low
S1,P5,44,0.0,3.0,low
S1,P5,45,0.0,3.0,low
S1,P5,46,0.0,3.0,low
S1,P5,47,0.0,3.0,low
S1,P5,48,0.0,3.0,low
S1,P5,49,0.0,3.0,low
S1,P5,50,0.0,3.0,low
S1,P5,51,0.0,3.0,low
S1,P5,52,0.0,3.0,low
S1,P5,53,0.0,3.0,low
S1,P5,54,0.0,3.0,low
S1,P5,55,0.0,3.0,low
S1,P5,56,0.0,3.0,low
S1,P5,57,0.0,3.0,low
S1,P5,58,0.0,3.0,low
S1,P5,59,0.0,3.0,low
S1,P6,0,55.9,2.0,high
S1,P6,1,47.515,2.0,high
S1,P6,2,47.515,2.0,high
S1,P6,3,33.54,2.0,medium
S1,P6,4,33.54,2.0,medium
S1,P6,5,33.54,2.0,medium
S1,P6,6,33.54,2.0,medium
S1,P6,7,13.975,2.0,low
S1,P6,8,13.975,2.0,low
S1,P6,9,13.975,2.0,low
S1,P6,10,13.975,2.0,low
S1,P6,11,13.975,2.0,low
S1,P6,12,13.975,2.0,low
S1,P6,13,13.975,2.0,low
S1,P6,14,0.0,2.0,low
S1,P6,15,0.0,2.0,low
S1,P6,16,0.0,2.0,low
S1,P6,17,0.0,2.0,low
S1,P6,18,0.0,2.0,low
S1,P6,19,0.0,2.0,low
S1,P6,20,0.0,2.0,low
S1,P6,21,0.0,2.0,low
S1,P6,22,0.0,2.0,low
S1,P6,23,0.0,2.0,low
S1,P6,24,0.0,2.0,low
S1,P6,25,0.0,2.0,low
S1,P6,26,0.0,2.0,low
S1,P6,27,0.0,2.0,low
S1,P6,28,0.0,2.0,low
S1,P6,29,0.0,2.0,low
S1,P6,30,0.0,2.0,low
S1,P6,31,0.0,2.0,low
S1,P6,32,0.0,2.0,low
S1,P6,33,0.0,2.0,low
S1,P6,34,0.0,2.0,low
S1,P6,35,0.0,2.0,low
S1,P6,36,0.0,2.0,low
S1,P6,37,0.0,2.0,low
S1,P6,38,0.0,2.0,low
S1,P6,39,0.0,2.0,low
S1,P6,40,0.0,2.0,low
S1,P6,41,0.0,2.0,low
S1,P6,42,0.0,2.0,low
S1,P6,43,0.0,2.0,low
S1,P6,44,0.0,2.0,low
S1,P6,45,0.0,2.0,low
S1,P6,46,0.0,2.0,low
S1,P6,47,0.0,2.0,low
S1,P6,48,0.0,2.0,low
S1,P6,49,0.0,2.0,low
S1,P6,50,0.0,2.0,low
S1,P6,51,0.0,2.0,low
S1,P6,52,0.0,2.0,low
S1,P6,53,0.0,2.0,low
S1,P6,54,0.0,2.0,low
S1,P6,55,0.0,2.0,low
S1,P6,56,0.0,2.0,low
S1,P6,57,0.0,2.0,low
S1,P6,58,0.0,2.0,low
S1,P6,59,0.0,2.0,low
S2,P1,0,49.8,2.0,high
S2,P1,1,42.33,2.0,high
S2,P1,2,42.33,2.0,high
S2,P1,3,29.879999999999995,2.0,medium
S2,P1,4,29.879999999999995,2.0,medium
S2,P1,5,29.879999999999995,2.0,medium
S2,P1,6,29.879999999999995,2.0,medium
S2,P1,7,12.45,2.0,low
S2,P1,8,12.45,2.0,low
S2,P1,9,12.45,2.0,low
S2,P1,10,12.45,2.0,low
S2,P1,11,12.45,2.0,low
S2,P1,12,12.45,2.0,low
S2,P1,13,12.45,2.0,low
S2,P1,14,0.0,2.0,low
S2,P1,15,0.0,2.0,low
S2,P1,16,0.0,2.0,low
S2,P1,17,0.0,2.0,low
S2,P1,18,0.0,2.0,low
S2,P1,19,0.0,2.0,low
S2,P1,20,0.0,2.0,low
S2,P1,21,0.0,2.0,low
S2,P1,22,0.0,2.0,low
S2,P1,23,0.0,2.0,low
S2,P1,24,0.0,2.0,low
S2,P1,25,0.0,2.0,low
S2,P1,26,0.0,2.0,low
S2,P1,27,0.0,2.0,low
S2,P1,28,0.0,2.0,low
S2,P1,29,0.0,2.0,low
S2,P1,30,0.0,2.0,low
S2,P1,31,0.0,2.0,low
S2,P1,32,0.0,2.0,low
S2,P1,33,0.0,2.0,low
S2,P1,34,0.0,2.0,low
S2,P1,35,0.0,2.0,low
S2,P1,36,0.0,2.0,low
S2,P1,37,0.0,2.0,low
S2,P1,38,0.0,2.0,low
S2,P1,39,0.0,2.0,low
S2,P1,40,0.0,2.0,low
S2,P1,41,0.0,2.0,low
S2,P1,42,0.0,2.0,low
S2,P1,43,0.0,2.0,low
S2,P1,44,0.0,2.0,low
S2,P1,45,0.0,2.0,low
S2,P1,46,0.0,2.0,low
S2,P1,47,0.0,2.0,low
S2,P1,48,0.0,2.0,low
S2,P1,49,0.0,2.0,low
S2,P1,50,0.0,2.0,low
S2,P1,51,0.0,2.0,low
S2,P1,52,0.0,2.0,low
S2,P1,53,0.0,2.0,low
S2,P1,54,0.0,2.0,low
S2,P1,55,0.0,2.0,low
S2,P1,56,0.0,2.0,low
S2,P1,57,0.0,2.0,low
S2,P1,58,0.0,2.0,low
S2,P1,59,0.0,2.0,low
S2,P2,0,41.7,1.0,high
S2,P2,1,35.445,1.0,high
S2,P2,2,35.445,1.0,high
S2,P2,3,25.02,1.0,medium
S2,P2,4,25.02,1.0,medium
S2,P2,5,25.02,1.0,medium
S2,P2,6,25.02,1.0,medium
S2,P2,7,10.425,1.0,low
S2,P2,8,10.425,1.0,low
S2,P2,9,10.425,1.0,low
S2,P2,10,10.425,1.0,low
S2,P2,11,10.425,1.0,low
S2,P2,12,10.425,1.0,low
S2,P2,13,10.425,1.0,low
S2,P2,14,0.0,1.0,low
S2,P2,15,0.0,1.0,low
S2,P2,16,0.0,1.0,low
S2,P2,17,0.0,1.0,low
S2,P2,18,0.0,1.0,low
S2,P2,19,0.0,1.0,low
S2,P2,20,0.0,1.0,low
S2,P2,21,0.0,1.0,low
S2,P2,22,0.0,1.0,low
S2,P2,23,0.0,1.0,low
S2,P2,24,0.0,1.0,low
S2,P2,25,0.0,1.0,low
S2,P2,26,0.0,1.0,low
S2,P2,27,0.0,1.0,low
S2,P2,28,0.0,1.0,low
S2,P2,29,0.0,1.0,low
S2,P2,30,0.0,1.0,low
S2,P2,31,0.0,1.0,low
S2,P2,32,0.0,1.0,low
S2,P2,33,0.0,1.0,low
S2,P2,34,0.0,1.0,low
S2,P2,35,0.0,1.0,low
S2,P2,36,0.0,1.0,low
S2,P2,37,0.0,1.0,low
S2,P2,38,0.0,1.0,low
S2,P2,39,0.0,1.0,low
S2,P2,40,0.0,1.0,low
S2,P2,41,0.0,1.0,low
S2,P2,42,0.0,1.0,low
S2,P2,43,0.0,1.0,low
S2,P2,44,0.0,1.0,low
S2,P2,45,0.0,1.0,low
S2,P2,46,0.0,1.0,low
S2,P2,47,0.0,1.0,low
S2,P2,48,0.0,1.0,low
S2,P2,49,0.0,1.0,low
S2,P2,50,0.0,1.0,low
S2,P2,51,0.0,1.0,low
S2,P2,52,0.0,1.0,low
S2,P2,53,0.0,1.0,low
S2,P2,54,0.0,1.0,low
S2,P2,55,0.0,1.0,low
S2,P2,56,0.0,1.0,low
S2,P2,57,0.0,1.0,low
S2,P2,58,0.0,1.0,low
S2,P2,59,0.0,1.0,low
S2,P3,0,47.9,2.0,high
S2,P3,1,40.714999999999996,2.0,high
S2,P3,2,40.714999999999996,2.0,high
S2,P3,3,28.74,2.0,medium
S2,P3,4,28.74,2.0,medium
S2,P3,5,28.74,2.0,medium
S2,P3,6,28.74,2.0,medium
S2,P3,7,11.975,2.0,low
S2,P3,8,11.975,2.0,low
S2,P3,9,11.975,2.0,low
S2,P3,10,11.975,2.0,low
S2,P3,11,11.975,2.0,low
S2,P3,12,11.975,2.0,low
S2,P3,13,11.975,2.0,low
S2,P3,14,0.0,2.0,low
S2,P3,15,0.0,2.0,low
S2,P3,16,0.0,2.0,low
S2,P3,17,0.0,2.0,low
S2,P3,18,0.0,2.0,low
S2,P3,19,0.0,2.0,low
S2,P3,20,0.0,2.0,low
S2,P3,21,0.0,2.0,low
S2,P3,22,0.0,2.0,low
S2,P3,23,0.0,2.0,low
S2,P3,24,0.0,2.0,low
S2,P3,25,0.0,2.0,low
S2,P3,26,0.0,2.0,low
S2,P3,27,0.0,2.0,low
S2,P3,28,0.0,2.0,low
S2,P3,29,0.0,2.0,low
S2,P3,30,0.0,2.0,low
S2,P3,31,0.0,2.0,low
S2,P3,32,0.0,2.0,low
S2,P3,33,0.0,2.0,low
S2,P3,34,0.0,2.0,low
S2,P3,35,0.0,2.0,low
S2,P3,36,0.0,2.0,low
S2,P3,37,0.0,2.0,low
S2,P3,38,0.0,2.0,low
S2,P3,39,0.0,2.0,low
S2,P3,40,0.0,2.0,low
S2,P3,41,0.0,2.0,low
S2,P3,42,0.0,2.0,low
S2,P3,43,0.0,2.0,low
S2,P3,44,0.0,2.0,low
S2,P3,45,0.0,2.0,low
S2,P3,46,0.0,2.0,low
S2,P3,47,0.0,2.0,low
S2,P3,48,0.0,2.0,low
S2,P3,49,0.0,2.0,low
S2,P3,50,0.0,2.0,low
S2,P3,51,0.0,2.0,low
S2,P3,52,0.0,2.0,low
S2,P3,53,0.0,2.0,low
S2,P3,54,0.0,2.0,low
S2,P3,55,0.0,2.0,low
S2,P3,56,0.0,2.0,low
S2,P3,57,0.0,2.0,low
S2,P3,58,0.0,2.0,low
S2,P3,59,0.0,2.0,low
S2,P4,0,47.9,2.0,high
S2,P4,1,40.714999999999996,2.0,high
S2,P4,2,40.714999999999996,2.0,high
S2,P4,3,28.74,2.0,medium
S2,P4,4,28.74,2.0,medium
S2,P4,5,28.74,2.0,medium
S2,P4,6,28.74,2.0,medium
S2,P4,7,11.975,2.0,low
S2,P4,8,11.975,2.0,low
S2,P4,9,11.975,2.0,low
S2,P4,10,11.975,2.0,low
S2,P4,11,11.975,2.0,low
S2,P4,12,11.975,2.0,low
S2,P4,13,11.975,2.0,low
S2,P4,14,0.0,2.0,low
S2,P4,15,0.0,2.0,low
S2,P4,16,0.0,2.0,low
S2,P4,17,0.0,2.0,low
S2,P4,18,0.0,2.0,low
S2,P4,19,0.0,2.0,low
S2,P4,20,0.0,2.0,low
S2,P4,21,0.0,2.0,low
S2,P4,22,0.0,2.0,low
S2,P4,23,0.0,2.0,low
S2,P4,24,0.0,2.0,low
S2,P4,25,0.0,2.0,low
S2,P4,26,0.0,2.0,low
S2,P4,27,0.0,2.0,low
S2,P4,28,0.0,2.0,low
S2,P4,29,0.0,2.0,low
S2,P4,30,0.0,2.0,low
S2,P4,31,0.0,2.0,low
S2,P4,32,0.0,2.0,low
S2,P4,33,0.0,2.0,low
S2,P4,34,0.0,2.0,low
S2,P4,35,0.0,2.0,low
S2,P4,36,0.0,2.0,low
S2,P4,37,0.0,2.0,low
S2,P4,38,0.0,2.0,low
S2,P4,39,0.0,2.0,low
S2,P4,40,0.0,2.0,low
S2,P4,41,0.0,2.0,low
S2,P4,42,0.0,2.0,low
S2,P4,43,0.0,2.0,low
S2,P4,44,0.0,2.0,low
S2,P4,45,0.0,2.0,low
S2,P4,46,0.0,2.0,low
S2,P4,47,0.0,2.0,low
S2,P4,48,0.0,2.0,low
S2,P4,49,0.0,2.0,low
S2,P4,50,0.0,2.0,low
S2,P4,51,0.0,2.0,low
S2,P4,52,0.0,2.0,low
S2,P4,53,0.0,2.0,low
S2,P4,54,0.0,2.0,low
S2,P4,55,0.0,2.0,low
S2,P4,56,0.0,2.0,low
S2,P4,57,0.0,2.0,low
S2,P4,58,0.0,2.0,low
S2,P4,59,0.0,2.0,low
S2,P5,0,47.9,2.0,high
S2,P5,1,40.714999999999996,2.0,high
S2,P5,2,40.714999999999996,2.0,high
S2,P5,3,28.74,2.0,medium
S2,P5,4,28.74,2.0,medium
S2,P5,5,28.74,2.0,medium
S2,P5,6,28.74,2.0,medium
S2,P5,7,11.975,2.0,low
S2,P5,8,11.975,2.0,low
S2,P5,9,11.975,2.0,low
S2,P5,10,11.975,2.0,low
S2,P5,11,11.975,2.0,low
S2,P5,12,11.975,2.0,low
S2,P5,13,11.975,2.0,low
S2,P5,14,0.0,2.0,low
S2,P5,15,0.0,2.0,low
S2,P5,16,0.0,2.0,low
S2,P5,17,0.0,2.0,low
S2,P5,18,0.0,2.0,low
S2,P5,19,0.0,2.0,low
S2,P5,20,0.0,2.0,low
S2,P5,21,0.0,2.0,low
S2,P5,22,0.0,2.0,low
S2,P5,23,0.0,2.0,low
S2,P5,24,0.0,2.0,low
S2,P5,25,0.0,2.0,low
S2,P5,26,0.0,2.0,low
S2,P5,27,0.0,2.0,low
S2,P5,28,0.0,2.0,low
S2,P5,29,0.0,2.0,low
S2,P5,30,0.0,2.0,low
S2,P5,31,0.0,2.0,low
S2,P5,32,0.0,2.0,low
S2,P5,33,0.0,2.0,low
S2,P5,34,0.0,2.0,low
S2,P5,35,0.0,2.0,low
S2,P5,36,0.0,2.0,low
S2,P5,37,0.0,2.0,low
S2,P5,38,0.0,2.0,low
S2,P5,39,0.0,2.0,low
S2,P5,40,0.0,2.0,low
S2,P5,41,0.0,2.0,low
S2,P5,42,0.0,2.0,low
S2,P5,43,0.0,2.0,low
S2,P5,44,0.0,2.0,low
S2,P5,45,0.0,2.0,low
S2,P5,46,0.0,2.0,low
S2,P5,47,0.0,2.0,low
S2,P5,48,0.0,2.0,low
S2,P5,49,0.0,2.0,low
S2,P5,50,0.0,2.0,low
S2,P5,51,0.0,2.0,low
S2,P5,52,0.0,2.0,low
S2,P5,53,0.0,2.0,low
S2,P5,54,0.0,2.0,low
S2,P5,55,0.0,2.0,low
S2,P5,56,0.0,2.0,low
S2,P5,57,0.0,2.0,low
S2,P5,58,0.0,2.0,low
S2,P5,59,0.0,2.0,low
S2,P6,0,55.9,2.0,high
S2,P6,1,47.515,2.0,high
S2,P6,2,47.515,2.0,high
S2,P6,3,33.54,2.0,medium
S2,P6,4,33.54,2.0,medium
S2,P6,5,33.54,2.0,medium
S2,P6,6,33.54,2.0,medium
S2,P6,7,13.975,2.0,low
S2,P6,8,13.975,2.0,low
S2,P6,9,13.975,2.0,low
S2,P6,10,13.975,2.0,low
S2,P6,11,13.975,2.0,low
S2,P6,12,13.975,2.0,low
S2,P6,13,13.975,2.0,low
S2,P6,14,0.0,2.0,low
S2,P6,15,0.0,2.0,low
S2,P6,16,0.0,2.0,low
S2,P6,17,0.0,2.0,low
S2,P6,18,0.0,2.0,low
S2,P6,19,0.0,2.0,low
S2,P6,20,0.0,2.0,low
S2,P6,21,0.0,2.0,low
S2,P6,22,0.0,2.0,low
S2,P6,23,0.0,2.0,low
S2,P6,24,0.0,2.0,low
S2,P6,25,0.0,2.0,low
S2,P6,26,0.0,2.0,low
S2,P6,27,0.0,2.0,low
S2,P6,28,0.0,2.0,low
S2,P6,29,0.0,2.0,low
S2,P6,30,0.0,2.0,low
S2,P6,31,0.0,2.0,low
S2,P6,32,0.0,2.0,low
S2,P6,33,0.0,2.0,low
S2,P6,34,0.0,2.0,low
S2,P6,35,0.0,2.0,low
S2,P6,36,0.0,2.0,low
S2,P6,37,0.0,2.0,low
S2,P6,38,0.0,2.0,low
S2,P6,39,0.0,2.0,low
S2,P6,40,0.0,2.0,low
S2,P6,41,0.0,2.0,low
S2,P6,42,0.0,2.0,low
S2,P6,43,0.0,2.0,low
S2,P6,44,0.0,2.0,low
S2,P6,45,0.0,2.0,low
S2,P6,46,0.0,2.0,low
S2,P6,47,0.0,2.0,low
S2,P6,48,0.0,2.0,low
S2,P6,49,0.0,2.0,low
S2,P6,50,0.0,2.0,low
S2,P6,51,0.0,2.0,low
S2,P6,52,0.0,2.0,low
S2,P6,53,0.0,2.0,low
S2,P6,54,0.0,2.0,low
S2,P6,55,0.0,2.0,low
S2,P6,56,0.0,2.0,low
S2,P6,57,0.0,2.0,low
S2,P6,58,0.0,2.0,low
S2,P6,59,0.0,2.0,low
S3,P1,0,56.3,3.0,high
S3,P1,1,47.855,3.0,high
S3,P1,2,47.855,3.0,high
S3,P1,3,33.779999999999994,3.0,medium
S3,P1,4,33.779999999999994,3.0,medium
S3,P1,5,33.779999999999994,3.0,medium
S3,P1,6,33.779999999999994,3.0,medium
S3,P1,7,14.075,3.0,low
S3,P1,8,14.075,3.0,low
S3,P1,9,14.075,3.0,low
S3,P1,10,14.075,3.0,low
S3,P1,11,14.075,3.0,low
S3,P1,12,14.075,3.0,low
S3,P1,13,14.075,3.0,low
S3,P1,14,0.0,3.0,low
S3,P1,15,0.0,3.0,low
S3,P1,16,0.0,3.0,low
S3,P1,17,0.0,3.0,low
S3,P1,18,0.0,3.0,low
S3,P1,19,0.0,3.0,low
S3,P1,20,0.0,3.0,low
S3,P1,21,0.0,3.0,low
S3,P1,22,0.0,3.0,low
S3,P1,23,0.0,3.0,low
S3,P1,24,0.0,3.0,low
S3,P1,25,0.0,3.0,low
S3,P1,26,0.0,3.0,low
S3,P1,27,0.0,3.0,low
S3,P1,28,0.0,3.0,low
S3,P1,29,0.0,3.0,low
S3,P1,30,0.0,3.0,low
S3,P1,31,0.0,3.0,low
S3,P1,32,0.0,3.0,low
S3,P1,33,0.0,3.0,low
S3,P1,34,0.0,3.0,low
S3,P1,35,0.0,3.0,low
S3,P1,36,0.0,3.0,low
S3,P1,37,0.0,3.0,low
S3,P1,38,0.0,3.0,low
S3,P1,39,0.0,3.0,low
S3,P1,40,0.0,3.0,low
S3,P1,41,0.0,3.0,low
S3,P1,42,0.0,3.0,low
S3,P1,43,0.0,3.0,low
S3,P1,44,0.0,3.0,low
