kind,source,plant,day,value
dispatch,S1,P3,51,0.0
dispatch,S1,P3,52,0.0
dispatch,S1,P3,53,0.0
dispatch,S1,P3,54,0.0
dispatch,S1,P3,55,0.0
dispatch,S1,P3,56,0.0
dispatch,S1,P3,57,0.0
dispatch,S1,P3,58,0.0
dispatch,S1,P3,59,0.0
dispatch,S1,P4,0,0.0
dispatch,S1,P4,1,0.0
dispatch,S1,P4,2,0.0
dispatch,S1,P4,3,0.0
dispatch,S1,P4,4,0.0
dispatch,S1,P4,5,0.0
dispatch,S1,P4,6,0.0
dispatch,S1,P4,7,0.0
dispatch,S1,P4,8,0.0
dispatch,S1,P4,9,0.0
dispatch,S1,P4,10,0.0
dispatch,S1,P4,11,0.0
dispatch,S1,P4,12,0.0
dispatch,S1,P4,13,0.0
dispatch,S1,P4,14,0.0
dispatch,S1,P4,15,0.0
dispatch,S1,P4,16,0.0
dispatch,S1,P4,17,0.0
dispatch,S1,P4,18,0.0
dispatch,S1,P4,19,0.0
dispatch,S1,P4,20,0.0
dispatch,S1,P4,21,0.0
dispatch,S1,P4,22,0.0
dispatch,S1,P4,23,0.0
dispatch,S1,P4,24,0.0
dispatch,S1,P4,25,0.0
dispatch,S1,P4,26,0.0
dispatch,S1,P4,27,0.0
dispatch,S1,P4,28,0.0
dispatch,S1,P4,29,0.0
dispatch,S1,P4,30,0.0
dispatch,S1,P4,31,0.0
dispatch,S1,P4,32,0.0
dispatch,S1,P4,33,0.0
dispatch,S1,P4,34,0.0
dispatch,S1,P4,35,0.0
dispatch,S1,P4,36,0.0
dispatch,S1,P4,37,0.0
dispatch,S1,P4,38,0.0
dispatch,S1,P4,39,0.0
dispatch,S1,P4,40,0.0
dispatch,S1,P4,41,0.0
dispatch,S1,P4,42,0.0
dispatch,S1,P4,43,0.0
dispatch,S1,P4,44,0.0
dispatch,S1,P4,45,0.0
dispatch,S1,P4,46,0.0
dispatch,S1,P4,47,0.0
dispatch,S1,P4,48,0.0
dispatch,S1,P4,49,0.0
dispatch,S1,P4,50,0.0
dispatch,S1,P4,51,0.0
dispatch,S1,P4,52,0.0
dispatch,S1,P4,53,0.0
dispatch,S1,P4,54,0.0
dispatch,S1,P4,55,0.0
dispatch,S1,P4,56,0.0
dispatch,S1,P4,57,0.0
dispatch,S1,P4,58,0.0
dispatch,S1,P4,59,0.0
dispatch,S1,P5,0,0.0
dispatch,S1,P5,1,0.0
dispatch,S1,P5,2,0.0
dispatch,S1,P5,3,0.0
dispatch,S1,P5,4,0.0
dispatch,S1,P5,5,0.0
dispatch,S1,P5,6,0.0
dispatch,S1,P5,7,0.0
dispatch,S1,P5,8,0.0
dispatch,S1,P5,9,0.0
dispatch,S1,P5,10,0.0
dispatch,S1,P5,11,0.0
dispatch,S1,P5,12,0.0
dispatch,S1,P5,13,0.0
dispatch,S1,P5,14,0.0
dispatch,S1,P5,15,0.0
dispatch,S1,P5,16,0.0
dispatch,S1,P5,17,0.0
dispatch,S1,P5,18,0.0
dispatch,S1,P5,19,0.0
dispatch,S1,P5,20,0.0
dispatch,S1,P5,21,0.0
dispatch,S1,P5,22,0.0
dispatch,S1,P5,23,0.0
dispatch,S1,P5,24,0.0
dispatch,S1,P5,25,0.0
dispatch,S1,P5,26,0.0
dispatch,S1,P5,27,0.0
dispatch,S1,P5,28,0.0
dispatch,S1,P5,29,0.0
dispatch,S1,P5,30,0.0
dispatch,S1,P5,31,0.0
dispatch,S1,P5,32,0.0
dispatch,S1,P5,33,0.0
dispatch,S1,P5,34,0.0
dispatch,S1,P5,35,0.0
dispatch,S1,P5,36,0.0
dispatch,S1,P5,37,0.0
dispatch,S1,P5,38,0.0
dispatch,S1,P5,39,0.0
dispatch,S1,P5,40,0.0
dispatch,S1,P5,41,0.0
dispatch,S1,P5,42,0.0
dispatch,S1,P5,43,0.0
dispatch,S1,P5,44,0.0
dispatch,S1,P5,45,0.0
dispatch,S1,P5,46,0.0
dispatch,S1,P5,47,0.0
dispatch,S1,P5,48,0.0
dispatch,S1,P5,49,0.0
dispatch,S1,P5,50,0.0
dispatch,S1,P5,51,0.0
dispatch,S1,P5,52,0.0
dispatch,S1,P5,53,0.0
dispatch,S1,P5,54,0.0
dispatch,S1,P5,55,0.0
dispatch,S1,P5,56,0.0
dispatch,S1,P5,57,0.0
dispatch,S1,P5,58,0.0
dispatch,S1,P5,59,0.0
dispatch,S1,P6,0,0.0
dispatch,S1,P6,1,0.0
dispatch,S1,P6,2,0.0
dispatch,S1,P6,3,0.0
dispatch,S1,P6,4,0.0
dispatch,S1,P6,5,0.0
dispatch,S1,P6,6,0.0
dispatch,S1,P6,7,0.0
dispatch,S1,P6,8,0.0
dispatch,S1,P6,9,0.0
dispatch,S1,P6,10,0.0
dispatch,S1,P6,11,0.0
dispatch,S1,P6,12,0.0
dispatch,S1,P6,13,0.0
dispatch,S1,P6,14,12000.0
dispatch,S1,P6,15,12000.0
dispatch,S1,P6,16,12000.0
dispatch,S1,P6,17,8994.285226926586
dispatch,S1,P6,18,0.0
dispatch,S1,P6,19,0.0
dispatch,S1,P6,20,0.0
dispatch,S1,P6,21,0.0
dispatch,S1,P6,22,0.0
dispatch,S1,P6,23,0.0
dispatch,S1,P6,24,0.0
dispatch,S1,P6,25,0.0
dispatch,S1,P6,26,0.0
dispatch,S1,P6,27,0.0
dispatch,S1,P6,28,0.0
dispatch,S1,P6,29,0.0
dispatch,S1,P6,30,0.0
dispatch,S1,P6,31,0.0
dispatch,S1,P6,32,0.0
dispatch,S1,P6,33,0.0
dispatch,S1,P6,34,0.0
dispatch,S1,P6,35,0.0
dispatch,S1,P6,36,0.0
dispatch,S1,P6,37,0.0
dispatch,S1,P6,38,0.0
dispatch,S1,P6,39,0.0
dispatch,S1,P6,40,0.0
dispatch,S1,P6,41,0.0
dispatch,S1,P6,42,0.0
dispatch,S1,P6,43,0.0
dispatch,S1,P6,44,0.0
dispatch,S1,P6,45,0.0
dispatch,S1,P6,46,0.0
dispatch,S1,P6,47,0.0
dispatch,S1,P6,48,0.0
dispatch,S1,P6,49,0.0
dispatch,S1,P6,50,0.0
dispatch,S1,P6,51,0.0
dispatch,S1,P6,52,0.0
dispatch,S1,P6,53,0.0
dispatch,S1,P6,54,0.0
dispatch,S1,P6,55,0.0
dispatch,S1,P6,56,0.0
dispatch,S1,P6,57,0.0
dispatch,S1,P6,58,0.0
dispatch,S1,P6,59,0.0
dispatch,S2,P1,0,0.0
dispatch,S2,P1,1,0.0
dispatch,S2,P1,2,0.0
dispatch,S2,P1,3,0.0
dispatch,S2,P1,4,0.0
dispatch,S2,P1,5,0.0
dispatch,S2,P1,6,0.0
dispatch,S2,P1,7,0.0
dispatch,S2,P1,8,0.0
dispatch,S2,P1,9,0.0
dispatch,S2,P1,10,0.0
dispatch,S2,P1,11,0.0
dispatch,S2,P1,12,0.0
dispatch,S2,P1,13,0.0
dispatch,S2,P1,14,0.0
dispatch,S2,P1,15,0.0
dispatch,S2,P1,16,0.0
dispatch,S2,P1,17,0.0
dispatch,S2,P1,18,0.0
dispatch,S2,P1,19,0.0
dispatch,S2,P1,20,0.0
dispatch,S2,P1,21,0.0
dispatch,S2,P1,22,0.0
dispatch,S2,P1,23,0.0
dispatch,S2,P1,24,0.0
dispatch,S2,P1,25,0.0
dispatch,S2,P1,26,0.0
dispatch,S2,P1,27,0.0
dispatch,S2,P1,28,0.0
dispatch,S2,P1,29,0.0
dispatch,S2,P1,30,0.0
dispatch,S2,P1,31,0.0
dispatch,S2,P1,32,0.0
dispatch,S2,P1,33,0.0
dispatch,S2,P1,34,0.0
dispatch,S2,P1,35,0.0
dispatch,S2,P1,36,0.0
dispatch,S2,P1,37,0.0
dispatch,S2,P1,38,0.0
dispatch,S2,P1,39,0.0
dispatch,S2,P1,40,0.0
dispatch,S2,P1,41,0.0
dispatch,S2,P1,42,0.0
dispatch,S2,P1,43,0.0
dispatch,S2,P1,44,0.0
dispatch,S2,P1,45,0.0
dispatch,S2,P1,46,0.0
dispatch,S2,P1,47,0.0
dispatch,S2,P1,48,0.0
dispatch,S2,P1,49,0.0
dispatch,S2,P1,50,0.0
dispatch,S2,P1,51,0.0
dispatch,S2,P1,52,0.0
dispatch,S2,P1,53,0.0
dispatch,S2,P1,54,0.0
dispatch,S2,P1,55,0.0
dispatch,S2,P1,56,0.0
dispatch,S2,P1,57,0.0
dispatch,S2,P1,58,0.0
dispatch,S2,P1,59,0.0
dispatch,S2,P2,0,9870.0
dispatch,S2,P2,1,10679.5
dispatch,S2,P2,2,10679.5
dispatch,S2,P2,3,11362.0
dispatch,S2,P2,4,11362.0
dispatch,S2,P2,5,11362.0
dispatch,S2,P2,6,11362.0
dispatch,S2,P2,7,2845.419616334111
dispatch,S2,P2,8,12317.5
dispatch,S2,P2,9,12317.5
dispatch,S2,P2,10,6482.325761713088
dispatch,S2,P2,11,6316.141099583794
dispatch,S2,P2,12,788.0427797094744
dispatch,S2,P2,13,12317.5
dispatch,S2,P2,14,0.0
dispatch,S2,P2,15,0.0
dispatch,S2,P2,16,6586.982140949578
dispatch,S2,P2,17,13000.0
dispatch,S2,P2,18,6227.985023851274
dispatch,S2,P2,19,6077.880044411548
dispatch,S2,P2,20,6314.5439793224505
dispatch,S2,P2,21,6369.128912707209
dispatch,S2,P2,22,6261.895839910692
dispatch,S2,P2,23,6611.128614009445
dispatch,S2,P2,24,6394.436296724656
dispatch,S2,P2,25,6227.985023851274
dispatch,S2,P2,26,6129.966600770858
dispatch,S2,P2,27,6420.686354600213
dispatch,S2,P2,28,6524.051792493439
dispatch,S2,P2,29,6630.0
dispatch,S2,P2,30,6671.353635303647
dispatch,S2,P2,31,6645.10678185377
dispatch,S2,P2,32,6482.325761713088
dispatch,S2,P2,33,6379.116711329378
dispatch,S2,P2,34,6668.874953737977
dispatch,S2,P2,35,6752.310580884339
dispatch,S2,P2,36,6827.8104049887625
dispatch,S2,P2,37,6827.8104049887625
dispatch,S2,P2,38,6752.310580884339
dispatch,S2,P2,39,6535.497454663215
dispatch,S2,P2,40,6379.116711329378
dispatch,S2,P2,41,6614.6181241970335
dispatch,S2,P2,42,6645.10678185377
dispatch,S2,P2,43,6671.353635303647
dispatch,S2,P2,44,6630.0
dispatch,S2,P2,45,6524.051792493439
dispatch,S2,P2,46,6292.27262750821
dispatch,S2,P2,47,6129.966600770858
dispatch,S2,P2,48,6355.086759031896
dispatch,S2,P2,49,6394.436296724656
dispatch,S2,P2,50,6440.8348589089
dispatch,S2,P2,51,6432.1895950112375
dispatch,S2,P2,52,6369.128912707209
dispatch,S2,P2,53,6188.253099736001
dispatch,S2,P2,54,6077.880044411548
dispatch,S2,P2,55,6355.086759031896
dispatch,S2,P2,56,6449.235694561008
dispatch,S2,P2,57,6549.100081692217
dispatch,S2,P2,58,6588.646364696353
dispatch,S2,P2,59,0.0
dispatch,S2,P3,0,0.0
dispatch,S2,P3,1,0.0
dispatch,S2,P3,2,0.0
dispatch,S2,P3,3,0.0
dispatch,S2,P3,4,0.0
dispatch,S2,P3,5,0.0
dispatch,S2,P3,6,0.0
dispatch,S2,P3,7,9472.080383665889
dispatch,S2,P3,8,0.0
dispatch,S2,P3,9,0.0
dispatch,S2,P3,10,5835.174238286912
dispatch,S2,P3,11,6001.358900416206
dispatch,S2,P3,12,11529.457220290526
dispatch,S2,P3,13,0.0
dispatch,S2,P3,14,0.0
dispatch,S2,P3,15,0.0
dispatch,S2,P3,16,0.0
dispatch,S2,P3,17,0.0
dispatch,S2,P3,18,0.0
dispatch,S2,P3,19,6922.119955588452
dispatch,S2,P3,20,6685.4560206775495
dispatch,S2,P3,21,6630.871087292791
dispatch,S2,P3,22,6738.104160089308
dispatch,S2,P3,23,6366.091866974079
dispatch,S2,P3,24,0.0
dispatch,S2,P3,25,0.0
dispatch,S2,P3,26,0.0
dispatch,S2,P3,27,0.0
dispatch,S2,P3,28,0.0
dispatch,S2,P3,29,0.0
dispatch,S2,P3,30,0.0
dispatch,S2,P3,31,0.0
dispatch,S2,P3,32,0.0
dispatch,S2,P3,33,0.0
dispatch,S2,P3,34,0.0
dispatch,S2,P3,35,0.0
dispatch,S2,P3,36,0.0
dispatch,S2,P3,37,0.0
dispatch,S2,P3,38,0.0
dispatch,S2,P3,39,0.0
dispatch,S2,P3,40,0.0
dispatch,S2,P3,41,0.0
dispatch,S2,P3,42,0.0
dispatch,S2,P3,43,0.0
dispatch,S2,P3,44,0.0
dispatch,S2,P3,45,0.0
dispatch,S2,P3,46,0.0
dispatch,S2,P3,47,0.0
dispatch,S2,P3,48,0.0
dispatch,S2,P3,49,0.0
dispatch,S2,P3,50,0.0
dispatch,S2,P3,51,0.0
dispatch,S2,P3,52,0.0
dispatch,S2,P3,53,0.0
dispatch,S2,P3,54,0.0
dispatch,S2,P3,55,0.0
dispatch,S2,P3,56,0.0
dispatch,S2,P3,57,0.0
dispatch,S2,P3,58,0.0
dispatch,S2,P3,59,0.0
dispatch,S2,P4,0,0.0
dispatch,S2,P4,1,0.0
dispatch,S2,P4,2,0.0
dispatch,S2,P4,3,0.0
dispatch,S2,P4,4,0.0
dispatch,S2,P4,5,0.0
dispatch,S2,P4,6,0.0
dispatch,S2,P4,7,0.0
dispatch,S2,P4,8,0.0
dispatch,S2,P4,9,0.0
dispatch,S2,P4,10,0.0
dispatch,S2,P4,11,0.0
dispatch,S2,P4,12,0.0
dispatch,S2,P4,13,0.0
dispatch,S2,P4,14,0.0
dispatch,S2,P4,15,0.0
dispatch,S2,P4,16,0.0
dispatch,S2,P4,17,0.0
dispatch,S2,P4,18,0.0
dispatch,S2,P4,19,0.0
dispatch,S2,P4,20,0.0
dispatch,S2,P4,21,0.0
dispatch,S2,P4,22,0.0
dispatch,S2,P4,23,0.0
dispatch,S2,P4,24,0.0
dispatch,S2,P4,25,0.0
dispatch,S2,P4,26,0.0
dispatch,S2,P4,27,0.0
dispatch,S2,P4,28,0.0
dispatch,S2,P4,29,0.0
dispatch,S2,P4,30,0.0
dispatch,S2,P4,31,0.0
dispatch,S2,P4,32,0.0
dispatch,S2,P4,33,0.0
dispatch,S2,P4,34,0.0
dispatch,S2,P4,35,0.0
dispatch,S2,P4,36,0.0
dispatch,S2,P4,37,0.0
dispatch,S2,P4,38,0.0
dispatch,S2,P4,39,0.0
dispatch,S2,P4,40,0.0
dispatch,S2,P4,41,0.0
dispatch,S2,P4,42,0.0
dispatch,S2,P4,43,0.0
dispatch,S2,P4,44,0.0
dispatch,S2,P4,45,0.0
dispatch,S2,P4,46,0.0
dispatch,S2,P4,47,0.0
dispatch,S2,P4,48,0.0
dispatch,S2,P4,49,0.0
dispatch,S2,P4,50,0.0
dispatch,S2,P4,51,0.0
dispatch,S2,P4,52,0.0
dispatch,S2,P4,53,0.0
dispatch,S2,P4,54,0.0
dispatch,S2,P4,55,0.0
dispatch,S2,P4,56,0.0
dispatch,S2,P4,57,0.0
dispatch,S2,P4,58,0.0
dispatch,S2,P4,59,0.0
dispatch,S2,P5,0,0.0
dispatch,S2,P5,1,0.0
dispatch,S2,P5,2,0.0
dispatch,S2,P5,3,0.0
dispatch,S2,P5,4,0.0
dispatch,S2,P5,5,0.0
dispatch,S2,P5,6,0.0
dispatch,S2,P5,7,0.0
dispatch,S2,P5,8,0.0
dispatch,S2,P5,9,0.0
dispatch,S2,P5,10,0.0
dispatch,S2,P5,11,0.0
dispatch,S2,P5,12,0.0
dispatch,S2,P5,13,0.0
dispatch,S2,P5,14,0.0
dispatch,S2,P5,15,0.0
dispatch,S2,P5,16,0.0
dispatch,S2,P5,17,0.0
dispatch,S2,P5,18,0.0
dispatch,S2,P5,19,0.0
dispatch,S2,P5,20,0.0
dispatch,S2,P5,21,0.0
dispatch,S2,P5,22,0.0
dispatch,S2,P5,23,0.0
dispatch,S2,P5,24,0.0
dispatch,S2,P5,25,0.0
dispatch,S2,P5,26,0.0
dispatch,S2,P5,27,0.0
dispatch,S2,P5,28,0.0
dispatch,S2,P5,29,0.0
dispatch,S2,P5,30,0.0
dispatch,S2,P5,31,0.0
dispatch,S2,P5,32,0.0
dispatch,S2,P5,33,0.0
dispatch,S2,P5,34,0.0
dispatch,S2,P5,35,0.0
dispatch,S2,P5,36,0.0
dispatch,S2,P5,37,0.0
dispatch,S2,P5,38,0.0
dispatch,S2,P5,39,0.0
dispatch,S2,P5,40,0.0
dispatch,S2,P5,41,0.0
dispatch,S2,P5,42,0.0
dispatch,S2,P5,43,0.0
dispatch,S2,P5,44,0.0
dispatch,S2,P5,45,0.0
dispatch,S2,P5,46,0.0
dispatch,S2,P5,47,0.0
dispatch,S2,P5,48,0.0
dispatch,S2,P5,49,0.0
dispatch,S2,P5,50,0.0
dispatch,S2,P5,51,0.0
dispatch,S2,P5,52,0.0
dispatch,S2,P5,53,0.0
dispatch,S2,P5,54,0.0
dispatch,S2,P5,55,0.0
dispatch,S2,P5,56,0.0
dispatch,S2,P5,57,0.0
dispatch,S2,P5,58,0.0
dispatch,S2,P5,59,0.0
dispatch,S2,P6,0,0.0
dispatch,S2,P6,1,0.0
dispatch,S2,P6,2,0.0
dispatch,S2,P6,3,0.0
dispatch,S2,P6,4,0.0
dispatch,S2,P6,5,0.0
dispatch,S2,P6,6,0.0
dispatch,S2,P6,7,0.0
dispatch,S2,P6,8,0.0
dispatch,S2,P6,9,0.0
dispatch,S2,P6,10,0.0
dispatch,S2,P6,11,0.0
dispatch,S2,P6,12,0.0
dispatch,S2,P6,13,0.0
dispatch,S2,P6,14,13000.0
dispatch,S2,P6,15,13000.0
dispatch,S2,P6,16,6413.017859050422
dispatch,S2,P6,17,0.0
dispatch,S2,P6,18,6772.014976148726
dispatch,S2,P6,19,0.0
dispatch,S2,P6,20,0.0
dispatch,S2,P6,21,0.0
dispatch,S2,P6,22,0.0
dispatch,S2,P6,23,22.779519016476115
dispatch,S2,P6,24,1885.8977218621294
dispatch,S2,P6,25,0.0
dispatch,S2,P6,26,0.0
dispatch,S2,P6,27,0.0
dispatch,S2,P6,28,0.0
dispatch,S2,P6,29,0.0
dispatch,S2,P6,30,260.78155762318056
dispatch,S2,P6,31,214.85380547051318
dispatch,S2,P6,32,0.0
dispatch,S2,P6,33,120.00906374890474
dispatch,S2,P6,34,493.951973621035
dispatch,S2,P6,35,641.7010674073535
dispatch,S2,P6,36,710.2316769790486
dispatch,S2,P6,37,638.216460140975
dispatch,S2,P6,38,321.84446320982534
dispatch,S2,P6,39,16.916706577670993
dispatch,S2,P6,40,99.60322567151161
dispatch,S2,P6,41,0.0
dispatch,S2,P6,42,116.62464777144487
dispatch,S2,P6,43,159.1505841022008
dispatch,S2,P6,44,0.0
dispatch,S2,P6,45,0.0
dispatch,S2,P6,46,0.0
dispatch,S2,P6,47,0.0
dispatch,S2,P6,48,0.0
dispatch,S2,P6,49,0.0
dispatch,S2,P6,50,0.0
dispatch,S2,P6,51,0.0
dispatch,S2,P6,52,0.0
dispatch,S2,P6,53,0.0
dispatch,S2,P6,54,0.0
dispatch,S2,P6,55,0.0
dispatch,S2,P6,56,0.0
dispatch,S2,P6,57,0.0
dispatch,S2,P6,58,0.0
dispatch,S2,P6,59,0.0
dispatch,S3,P1,0,0.0
dispatch,S3,P1,1,0.0
dispatch,S3,P1,2,0.0
dispatch,S3,P1,3,0.0
dispatch,S3,P1,4,0.0
dispatch,S3,P1,5,0.0
dispatch,S3,P1,6,0.0
dispatch,S3,P1,7,0.0
dispatch,S3,P1,8,0.0
dispatch,S3,P1,9,0.0
dispatch,S3,P1,10,0.0
dispatch,S3,P1,11,0.0
dispatch,S3,P1,12,0.0
dispatch,S3,P1,13,0.0
dispatch,S3,P1,14,0.0
dispatch,S3,P1,15,0.0
dispatch,S3,P1,16,0.0
dispatch,S3,P1,17,0.0
dispatch,S3,P1,18,0.0
dispatch,S3,P1,19,0.0
dispatch,S3,P1,20,0.0
dispatch,S3,P1,21,0.0
dispatch,S3,P1,22,0.0
dispatch,S3,P1,23,0.0
dispatch,S3,P1,24,0.0
dispatch,S3,P1,25,0.0
dispatch,S3,P1,26,0.0
dispatch,S3,P1,27,0.0
dispatch,S3,P1,28,0.0
dispatch,S3,P1,29,0.0
dispatch,S3,P1,30,0.0
dispatch,S3,P1,31,0.0
dispatch,S3,P1,32,0.0
dispatch,S3,P1,33,0.0
dispatch,S3,P1,34,0.0
dispatch,S3,P1,35,0.0
dispatch,S3,P1,36,0.0
dispatch,S3,P1,37,0.0
dispatch,S3,P1,38,0.0
dispatch,S3,P1,39,0.0
dispatch,S3,P1,40,0.0
dispatch,S3,P1,41,0.0
dispatch,S3,P1,42,0.0
dispatch,S3,P1,43,0.0
dispatch,S3,P1,44,0.0
dispatch,S3,P1,45,0.0
dispatch,S3,P1,46,0.0
dispatch,S3,P1,47,0.0
dispatch,S3,P1,48,0.0
dispatch,S3,P1,49,0.0
dispatch,S3,P1,50,0.0
dispatch,S3,P1,51,0.0
dispatch,S3,P1,52,0.0
dispatch,S3,P1,53,0.0
dispatch,S3,P1,54,0.0
dispatch,S3,P1,55,0.0
dispatch,S3,P1,56,0.0
dispatch,S3,P1,57,0.0
dispatch,S3,P1,58,0.0
dispatch,S3,P1,59,0.0
dispatch,S3,P2,0,0.0
dispatch,S3,P2,1,0.0
dispatch,S3,P2,2,0.0
dispatch,S3,P2,3,0.0
dispatch,S3,P2,4,0.0
dispatch,S3,P2,5,0.0
dispatch,S3,P2,6,0.0
dispatch,S3,P2,7,0.0
dispatch,S3,P2,8,0.0
dispatch,S3,P2,9,0.0
dispatch,S3,P2,10,0.0
dispatch,S3,P2,11,0.0
dispatch,S3,P2,12,0.0
dispatch,S3,P2,13,0.0
